time,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,djf,mam,jja,son,winter,summer,year
1947,-3.6,-2.1,4.49,10.33,13.89,17.31,19.06,19.3,15.68,8.66,5.63,0.82,-2.5,9.57,18.56,9.99,1.22,15.93,9.12
1948,2.84,0.97,7.08,8.45,13.2,14.44,14.34,16.01,12.82,8.93,3.78,-0.17,1.54,9.58,14.93,8.51,4.33,13.21,8.56
1949,-0.23,0.5,1.96,10.61,10.45,15.27,18.82,17.6,16.32,10.33,3.08,2.27,0.03,7.68,17.23,9.91,2.46,14.85,8.92
1950,-0.98,2.71,4.68,6.1,13.51,17.73,19.42,16.9,12.78,8.06,4.19,-2.05,1.33,8.1,18.02,8.34,3.68,14.41,8.59
1951,0.75,1.52,2.85,7.33,11.03,14.71,17.11,16.06,13.95,7.56,5.48,0.33,0.08,7.07,15.96,9,2.55,13.37,8.22
1952,-1.39,-1.66,4.79,9.43,12.9,16.69,19.94,17.59,10.32,7.75,2.25,-0.16,-0.91,9.04,18.07,6.77,2.52,14.48,8.2
1953,-3.33,-1.32,4.48,8.67,13.35,13.95,17.11,16.59,13.97,9.64,2.81,1.81,-1.6,8.83,15.88,8.81,1.61,13.94,8.15
1954,-2.85,-1.64,4.99,5.69,10.94,15.42,14.86,14.95,13.51,8.69,4.55,2.21,-0.89,7.21,15.07,8.92,2.46,12.56,7.61
1955,0.09,0.07,1.62,7.77,10.9,14.89,16.53,15.64,12.53,7.07,2.31,3.18,0.79,6.76,15.68,7.3,2.87,13.04,7.72
1956,1.24,-9.21,3.53,5.84,12.23,12.75,16.16,14.24,13.99,6.75,1.47,0.35,-1.6,7.2,14.38,7.4,1.35,12.54,6.61
1957,-1.87,3.52,7.38,7.59,8.99,15.39,16.71,15.14,12.33,7.94,3.62,-0.04,0.67,7.99,15.75,7.97,2.93,12.69,8.06
1958,-0.68,2.98,0.47,4.89,13.73,14.25,16.99,16.91,14.85,7.51,3.09,1.97,0.75,6.37,16.05,8.48,2.38,13.6,8.08
1959,-0.44,0.86,6.42,8.48,12.5,15.4,18.8,16.12,14.34,8.06,2.12,2.06,0.8,9.13,16.77,8.17,3.23,14.27,8.73
1960,-0.81,1.62,5.35,7.37,13.05,16.04,14.74,15.51,11.32,7.92,5.43,-0.07,0.95,8.59,15.43,8.22,3.07,13.01,8.12
1961,-0.26,4.19,5.64,10.28,10.49,15.6,15.7,15.81,16.58,9.6,3.31,1.1,1.28,8.8,15.7,9.83,3.81,14.08,9
